iter	Passed	Remaining
0	10	3004
1	20	3073
2	29	2942
3	38	2849
4	49	2907
5	56	2767
6	64	2689
7	73	2678
8	80	2597
9	93	2720
10	103	2731
11	112	2694
12	122	2699
13	133	2731
14	141	2684
15	152	2710
16	163	2725
17	171	2683
18	177	2623
19	186	2617
20	194	2579
21	208	2636
22	216	2607
23	225	2597
24	235	2591
25	245	2589
26	253	2558
27	261	2540
28	268	2513
29	276	2485
30	290	2522
31	298	2496
32	306	2481
33	314	2459
34	328	2488
35	336	2464
36	346	2462
37	353	2436
38	363	2433
39	374	2435
40	382	2419
41	390	2396
42	404	2415
43	415	2416
44	429	2431
45	436	2407
46	445	2395
47	455	2391
48	463	2374
49	471	2356
50	484	2367
51	491	2345
52	499	2327
53	508	2316
54	515	2295
55	523	2279
56	536	2287
57	545	2274
58	551	2253
59	565	2263
60	572	2244
61	580	2229
62	592	2228
63	601	2219
64	609	2204
65	618	2192
66	627	2181
67	636	2171
68	648	2170
69	656	2156
70	664	2144
71	679	2151
72	685	2130
73	692	2115
74	701	2105
75	708	2089
76	717	2078
77	732	2083
78	740	2070
79	751	2066
80	763	2062
81	771	2050
82	781	2042
83	789	2031
84	800	2025
85	814	2027
86	828	2029
87	840	2025
88	852	2022
89	863	2014
90	873	2006
91	888	2008
92	896	1995
93	904	1982
94	913	1970
95	924	1965
96	943	1973
97	952	1963
98	966	1961
99	975	1951
100	982	1936
101	993	1928
102	1000	1913
103	1009	1902
104	1021	1896
105	1030	1886
106	1038	1872
107	1051	1869
108	1059	1856
109	1067	1843
110	1081	1841
111	1088	1827
112	1096	1813
113	1104	1801
114	1111	1788
115	1119	1776
116	1132	1771
117	1139	1758
118	1148	1746
119	1164	1746
120	1171	1733
121	1179	1720
122	1188	1710
123	1196	1698
124	1206	1689
125	1222	1688
126	1231	1677
127	1244	1672
128	1253	1661
129	1260	1648
130	1268	1636
131	1276	1624
132	1285	1614
133	1300	1610
134	1310	1601
135	1326	1599
136	1337	1590
137	1345	1580
138	1358	1573
139	1371	1567
140	1380	1556
141	1387	1544
142	1397	1534
143	1408	1525
144	1415	1513
145	1422	1500
146	1433	1491
147	1440	1479
148	1455	1474
149	1462	1462
150	1470	1450
151	1480	1441
152	1491	1432
153	1498	1420
154	1506	1409
155	1515	1398
156	1521	1386
157	1536	1381
158	1543	1369
159	1552	1358
160	1560	1347
161	1571	1338
162	1579	1327
163	1589	1317
164	1597	1306
165	1605	1295
166	1619	1289
167	1627	1278
168	1634	1267
169	1649	1261
170	1657	1250
171	1672	1244
172	1683	1235
173	1697	1229
174	1704	1217
175	1711	1205
176	1722	1196
177	1732	1187
178	1740	1176
179	1747	1165
180	1755	1154
181	1763	1143
182	1778	1137
183	1786	1126
184	1794	1115
185	1805	1106
186	1814	1096
187	1821	1085
188	1830	1075
189	1837	1063
190	1844	1052
191	1859	1046
192	1867	1035
193	1875	1024
194	1887	1016
195	1895	1005
196	1902	994
197	1911	984
198	1924	976
199	1932	966
200	1939	955
201	1954	948
202	1964	938
203	1976	930
204	1984	919
205	1992	909
206	2005	901
207	2014	891
208	2022	880
209	2032	870
210	2039	860
211	2054	852
212	2062	842
213	2071	832
214	2085	824
215	2094	814
216	2101	803
217	2111	794
218	2118	783
219	2131	775
220	2140	765
221	2149	755
222	2160	746
223	2170	736
224	2177	725
225	2190	717
226	2205	709
227	2221	701
228	2228	690
229	2237	680
230	2244	670
231	2251	659
232	2265	651
233	2272	641
234	2280	630
235	2293	621
236	2301	611
237	2309	601
238	2318	591
239	2329	582
240	2337	572
241	2344	561
242	2353	551
243	2360	541
244	2370	532
245	2380	522
246	2387	512
247	2396	502
248	2409	493
249	2417	483
250	2424	473
251	2433	463
252	2440	453
253	2449	443
254	2459	434
255	2467	424
256	2476	414
257	2491	405
258	2501	395
259	2511	386
260	2519	376
261	2534	367
262	2550	358
263	2570	350
264	2581	340
265	2593	331
266	2603	321
267	2620	312
268	2630	303
269	2644	293
270	2658	284
271	2666	274
272	2678	264
273	2688	255
274	2716	246
275	2730	237
276	2743	227
277	2757	218
278	2769	208
279	2789	199
280	2800	189
281	2814	179
282	2831	170
283	2842	160
284	2853	150
285	2865	140
286	2872	130
287	2880	120
288	2889	109
289	2896	99
290	2911	90
291	2917	79
292	2926	69
293	2936	59
294	2947	49
295	2954	39
296	2964	29
297	2971	19
298	2981	9
299	2993	0
